name_id,language_code,meaning,source,confidence,verified
40e87ed0-7099-594f-8eb1-3022d957106c,es,La que trae felicidad; bendita,gpt-batch-v1,0.85,false
3c1181e3-95a4-56a8-a00b-6e63436ebe72,es,La que trae felicidad; bendita,gpt-batch-v1,0.85,false
6a27e1b1-a40d-59f0-90f6-044a8350b0b3,es,Trabajadora; ansiosa; rival,gpt-batch-v1,0.85,false
0255770a-a91d-5247-99f4-8ca6445cbd5b,es,Completa; universal; abarcadora,gpt-batch-v1,0.85,false
4f668d55-71bd-5b56-b1a0-63427f44fb2f,es,Dios es mi fuerza,gpt-batch-v1,0.85,false
8d03ae84-36af-5e2c-984b-4b7d98c23478,es,Dios es mi fuerza,gpt-batch-v1,0.85,false
67ce0f17-b2c4-5651-9b8c-7e5b6af6874e,es,Dios es mi fuerza,gpt-batch-v1,0.85,false
58902488-248c-5604-9c5b-0683bbb3355b,es,Mente; intelecto; espíritu,gpt-batch-v1,0.85,false
c45089c8-8efb-5864-86d5-547c97693c91,es,Piedra verde preciosa; piedra lateral,gpt-batch-v1,0.85,false
3e79bf6d-322a-5564-91bd-768c247134d5,es,Piedra verde preciosa; piedra lateral,gpt-batch-v1,0.85,false
f4e1c8bf-516e-5c64-be7a-b44546be9f8b,es,Piedra verde preciosa; piedra lateral,gpt-batch-v1,0.85,false
6c233a87-a5cd-5ffb-bf25-e759871a3b4c,es,León; valiente,gpt-batch-v1,0.85,false
412eff94-ccb9-5849-aa6f-526fbe17b777,es,León valiente; fuerte como un león,gpt-batch-v1,0.85,false
520b0c62-e020-5ed6-a014-1f769b9f7bcc,es,Guerrera famosa; luchadora renombrada,gpt-batch-v1,0.85,false
223d6a31-5ca2-586c-8740-e68cc5282db3,es,Luz; luz graciosa,gpt-batch-v1,0.85,false
6d2ca559-5803-5b16-b696-85e8fec81920,es,Descanso; confort,gpt-batch-v1,0.85,false
bf655c91-d6d3-57b7-b209-95a0941f8025,es,Descanso; confort,gpt-batch-v1,0.85,false
ca4a7cae-8258-5e61-83a9-d66525209c98,es,Roca; piedra,gpt-batch-v1,0.85,false
303ddbfd-b99d-5ccd-9c1e-59f403278876,es,Roca; piedra,gpt-batch-v1,0.85,false
c3983e78-4096-5abd-88f1-badf79afc7d6,es,Sabiduría; sabia,gpt-batch-v1,0.85,false
40e87ed0-7099-594f-8eb1-3022d957106c,pt,Aquela que traz felicidade; abençoada,gpt-batch-v1,0.85,false
3c1181e3-95a4-56a8-a00b-6e63436ebe72,pt,Aquela que traz felicidade; abençoada,gpt-batch-v1,0.85,false
6a27e1b1-a40d-59f0-90f6-044a8350b0b3,pt,Industriosa; ansiosa; rival,gpt-batch-v1,0.85,false
0255770a-a91d-5247-99f4-8ca6445cbd5b,pt,Inteira; universal; abrangente,gpt-batch-v1,0.85,false
4f668d55-71bd-5b56-b1a0-63427f44fb2f,pt,Deus é minha força,gpt-batch-v1,0.85,false
8d03ae84-36af-5e2c-984b-4b7d98c23478,pt,Deus é minha força,gpt-batch-v1,0.85,false
67ce0f17-b2c4-5651-9b8c-7e5b6af6874e,pt,Deus é minha força,gpt-batch-v1,0.85,false
58902488-248c-5604-9c5b-0683bbb3355b,pt,Mente; intelecto; espírito,gpt-batch-v1,0.85,false
c45089c8-8efb-5864-86d5-547c97693c91,pt,Pedra verde preciosa; pedra lateral,gpt-batch-v1,0.85,false
3e79bf6d-322a-5564-91bd-768c247134d5,pt,Pedra verde preciosa; pedra lateral,gpt-batch-v1,0.85,false
f4e1c8bf-516e-5c64-be7a-b44546be9f8b,pt,Pedra verde preciosa; pedra lateral,gpt-batch-v1,0.85,false
6c233a87-a5cd-5ffb-bf25-e759871a3b4c,pt,Leão; corajoso,gpt-batch-v1,0.85,false
412eff94-ccb9-5849-aa6f-526fbe17b777,pt,Leão corajoso; forte como um leão,gpt-batch-v1,0.85,false
520b0c62-e020-5ed6-a014-1f769b9f7bcc,pt,Guerreiro famoso; lutador renomado,gpt-batch-v1,0.85,false
223d6a31-5ca2-586c-8740-e68cc5282db3,pt,Luz; luz graciosa,gpt-batch-v1,0.85,false
6d2ca559-5803-5b16-b696-85e8fec81920,pt,Descanso; conforto,gpt-batch-v1,0.85,false
bf655c91-d6d3-57b7-b209-95a0941f8025,pt,Descanso; conforto,gpt-batch-v1,0.85,false
ca4a7cae-8258-5e61-83a9-d66525209c98,pt,Rocha; pedra,gpt-batch-v1,0.85,false
303ddbfd-b99d-5ccd-9c1e-59f403278876,pt,Rocha; pedra,gpt-batch-v1,0.85,false
c3983e78-4096-5abd-88f1-badf79afc7d6,pt,Sabedoria; sábio,gpt-batch-v1,0.85,false
40e87ed0-7099-594f-8eb1-3022d957106c,nl,Zij die geluk brengt; gezegend,gpt-batch-v1,0.85,false
3c1181e3-95a4-56a8-a00b-6e63436ebe72,nl,Zij die geluk brengt; gezegend,gpt-batch-v1,0.85,false
6a27e1b1-a40d-59f0-90f6-044a8350b0b3,nl,Vlijtig; enthousiast; rivaal,gpt-batch-v1,0.85,false
0255770a-a91d-5247-99f4-8ca6445cbd5b,nl,Geheel; universeel; omvattend,gpt-batch-v1,0.85,false
4f668d55-71bd-5b56-b1a0-63427f44fb2f,nl,God is mijn kracht,gpt-batch-v1,0.85,false
8d03ae84-36af-5e2c-984b-4b7d98c23478,nl,God is mijn kracht,gpt-batch-v1,0.85,false
67ce0f17-b2c4-5651-9b8c-7e5b6af6874e,nl,God is mijn kracht,gpt-batch-v1,0.85,false
58902488-248c-5604-9c5b-0683bbb3355b,nl,Geest; intellect; geestelijke,gpt-batch-v1,0.85,false
c45089c8-8efb-5864-86d5-547c97693c91,nl,Kostbare groene steen; zijsteen,gpt-batch-v1,0.85,false
3e79bf6d-322a-5564-91bd-768c247134d5,nl,Kostbare groene steen; zijsteen,gpt-batch-v1,0.85,false
f4e1c8bf-516e-5c64-be7a-b44546be9f8b,nl,Kostbare groene steen; zijsteen,gpt-batch-v1,0.85,false
6c233a87-a5cd-5ffb-bf25-e759871a3b4c,nl,Leeuw; moedig,gpt-batch-v1,0.85,false
412eff94-ccb9-5849-aa6f-526fbe17b777,nl,Moedige leeuw; sterk als een leeuw,gpt-batch-v1,0.85,false
520b0c62-e020-5ed6-a014-1f769b9f7bcc,nl,Beroemde krijger; gerenommeerde vechter,gpt-batch-v1,0.85,false
223d6a31-5ca2-586c-8740-e68cc5282db3,nl,Licht; gracieuze licht,gpt-batch-v1,0.85,false
6d2ca559-5803-5b16-b696-85e8fec81920,nl,Rust; comfort,gpt-batch-v1,0.85,false
bf655c91-d6d3-57b7-b209-95a0941f8025,nl,Rust; comfort,gpt-batch-v1,0.85,false
ca4a7cae-8258-5e61-83a9-d66525209c98,nl,Rots; steen,gpt-batch-v1,0.85,false
303ddbfd-b99d-5ccd-9c1e-59f403278876,nl,Rots; steen,gpt-batch-v1,0.85,false
